activity_id,lead_id,activity_date,activity_type,channel,outcome
T30001,L10001,2010-02-23,Call,Email,Negative
T30002,L10001,2010-01-07,Call,LinkedIn,No Response
T30003,L10001,2010-03-06,Call,Email,No Response
T30004,L10001,2010-02-27,Call,Phone,Positive
T30005,L10001,2010-01-27,Meeting,Email,Positive
T30006,L10002,2010-03-10,Demo,In-person,Negative
T30007,L10002,2010-03-24,Demo,Email,No Response
T30008,L10002,2010-01-18,Demo,LinkedIn,Positive
T30009,L10002,2010-03-22,Email,Email,Positive
T30010,L10002,2010-01-10,Call,Email,Positive
T30011,L10003,2010-04-22,Website Visit,LinkedIn,Neutral
T30012,L10003,2010-01-31,Email,Email,Positive
T30013,L10003,2010-04-27,Meeting,Email,Neutral
T30014,L10004,2010-03-20,Demo,Phone,No Response
T30015,L10004,2010-01-31,Email,LinkedIn,No Response
T30016,L10004,2010-01-25,Demo,LinkedIn,Neutral
T30017,L10004,2010-04-05,Meeting,LinkedIn,Neutral
T30018,L10004,2010-03-06,Meeting,Phone,Positive
T30019,L10005,2010-02-01,Demo,In-person,Neutral
T30020,L10005,2010-03-04,Meeting,In-person,Negative
T30021,L10005,2010-03-13,Meeting,Phone,Neutral
T30022,L10005,2010-02-04,Call,Email,Negative
T30023,L10005,2010-04-04,Email,Phone,No Response
T30024,L10005,2010-04-12,Email,Email,No Response
T30025,L10005,2010-02-24,Website Visit,In-person,Neutral
T30026,L10005,2010-05-02,Website Visit,In-person,No Response
T30027,L10005,2010-02-20,Email,Email,No Response
T30028,L10005,2010-01-22,Demo,Phone,Neutral
T30029,L10006,2010-02-16,Website Visit,LinkedIn,Neutral
T30030,L10006,2010-05-04,Call,Email,Positive
T30031,L10006,2010-03-30,Call,In-person,Neutral
T30032,L10006,2010-02-13,Website Visit,Email,Negative
T30033,L10007,2010-03-01,Website Visit,Email,No Response
T30034,L10007,2010-04-25,Demo,Phone,Negative
T30035,L10007,2010-03-11,Call,In-person,Neutral
T30036,L10007,2010-02-08,Email,LinkedIn,Neutral
T30037,L10007,2010-02-22,Meeting,LinkedIn,No Response
T30038,L10007,2010-04-25,Email,LinkedIn,Positive
T30039,L10008,2010-04-28,Call,In-person,Negative
T30040,L10008,2010-04-16,Website Visit,LinkedIn,Positive
T30041,L10008,2010-04-21,Email,In-person,Neutral
T30042,L10008,2010-03-01,Demo,Email,Positive
T30043,L10008,2010-04-14,Email,Email,No Response
T30044,L10009,2010-01-23,Demo,LinkedIn,No Response
T30045,L10009,2010-02-01,Meeting,LinkedIn,Negative
T30046,L10009,2010-02-23,Demo,In-person,Neutral
T30047,L10009,2010-01-12,Call,In-person,No Response
T30048,L10009,2010-01-24,Email,Email,Negative
T30049,L10009,2010-02-14,Email,Phone,Neutral
T30050,L10009,2010-02-03,Email,In-person,Positive
T30051,L10009,2010-01-13,Email,Phone,No Response
T30052,L10009,2010-03-31,Website Visit,LinkedIn,Neutral
T30053,L10010,2010-03-27,Website Visit,In-person,Positive
T30054,L10010,2010-03-06,Email,Email,Positive
T30055,L10010,2010-04-23,Email,Email,Positive
T30056,L10010,2010-03-11,Website Visit,LinkedIn,No Response
T30057,L10011,2010-05-01,Call,Email,Neutral
T30058,L10011,2010-04-17,Website Visit,Email,Negative
T30059,L10011,2010-03-25,Meeting,LinkedIn,Positive
T30060,L10011,2010-02-14,Email,Phone,No Response
T30061,L10011,2010-03-29,Meeting,LinkedIn,Negative
T30062,L10011,2010-03-22,Call,Phone,No Response
T30063,L10012,2010-02-19,Email,Phone,Negative
T30064,L10012,2010-04-11,Call,In-person,No Response
T30065,L10012,2010-04-22,Email,Email,Positive
T30066,L10012,2010-01-20,Website Visit,Phone,Neutral
T30067,L10013,2010-01-14,Call,In-person,Neutral
T30068,L10013,2010-01-30,Website Visit,Phone,Positive
T30069,L10014,2010-02-11,Call,Phone,Neutral
T30070,L10015,2010-03-11,Email,Email,No Response
T30071,L10015,2010-05-03,Website Visit,LinkedIn,Neutral
T30072,L10015,2010-04-09,Meeting,In-person,No Response
T30073,L10015,2010-04-19,Email,LinkedIn,No Response
T30074,L10015,2010-02-26,Call,Phone,Positive
T30075,L10015,2010-03-03,Call,In-person,No Response
T30076,L10015,2010-02-07,Demo,LinkedIn,Negative
T30077,L10015,2010-01-17,Website Visit,Phone,No Response
T30078,L10015,2010-02-03,Website Visit,In-person,Positive
T30079,L10016,2010-01-27,Email,LinkedIn,Positive
T30080,L10016,2010-03-12,Call,Phone,Neutral
T30081,L10016,2010-05-02,Meeting,In-person,Negative
T30082,L10017,2010-01-29,Email,Phone,Neutral
T30083,L10017,2010-03-16,Meeting,Email,Neutral
T30084,L10017,2010-04-01,Meeting,Phone,Positive
T30085,L10018,2010-02-25,Demo,In-person,Neutral
T30086,L10018,2010-02-21,Website Visit,Email,Neutral
T30087,L10018,2010-01-18,Call,Phone,No Response
T30088,L10018,2010-04-11,Meeting,LinkedIn,Neutral
T30089,L10019,2010-01-19,Email,LinkedIn,Positive
T30090,L10019,2010-03-28,Website Visit,Email,Negative
T30091,L10019,2010-05-03,Email,LinkedIn,Positive
T30092,L10019,2010-04-20,Demo,In-person,No Response
T30093,L10019,2010-02-02,Demo,In-person,Positive
T30094,L10019,2010-02-06,Website Visit,In-person,Negative
T30095,L10019,2010-03-02,Meeting,Phone,Neutral
T30096,L10019,2010-04-07,Email,In-person,Positive
T30097,L10019,2010-03-05,Website Visit,Phone,Neutral
T30098,L10019,2010-04-19,Call,In-person,Positive
T30099,L10020,2010-03-05,Email,Email,Positive
T30100,L10020,2010-05-08,Call,Email,Positive
T30101,L10020,2010-04-11,Email,In-person,No Response
T30102,L10021,2010-04-15,Call,LinkedIn,Neutral
T30103,L10021,2010-03-29,Call,In-person,No Response
T30104,L10021,2010-04-17,Website Visit,LinkedIn,Neutral
T30105,L10022,2010-03-17,Email,LinkedIn,Positive
T30106,L10022,2010-01-21,Call,In-person,Neutral
T30107,L10022,2010-02-15,Demo,LinkedIn,Negative
T30108,L10022,2010-05-06,Call,Email,Neutral
T30109,L10023,2010-05-08,Website Visit,Email,Positive
T30110,L10023,2010-03-06,Email,Phone,No Response
T30111,L10023,2010-02-06,Call,Email,No Response
T30112,L10024,2010-04-08,Email,LinkedIn,No Response
T30113,L10024,2010-04-24,Demo,Email,Neutral
T30114,L10024,2010-05-16,Website Visit,Email,Negative
T30115,L10024,2010-05-03,Meeting,In-person,Negative
T30116,L10024,2010-03-24,Call,LinkedIn,Neutral
T30117,L10025,2010-01-22,Email,Phone,Neutral
T30118,L99999,2010-04-14,Meeting,Email,Negative
