touch_id,lead_id,campaign_id,touch_date,response,treatment_group
P40001,L10002,CMP001,2010-01-07,No Action,Treatment
P40002,L10003,CMP001,2010-01-23,No Action,Control
P40003,L10004,CMP001,2010-01-14,Replied,Treatment
P40004,L10006,CMP001,2010-01-24,Clicked,Treatment
P40005,L10007,CMP001,2010-01-18,Replied,Treatment
P40006,L10008,CMP001,2010-01-23,Clicked,Control
P40007,L10009,CMP001,2010-02-05,No Action,Treatment
P40008,L10010,CMP001,2010-01-24,Opened,Control
P40009,L10011,CMP001,2010-01-26,Replied,Treatment
P40010,L10015,CMP001,2010-01-23,No Action,Treatment
P40011,L10017,CMP001,2010-01-29,No Action,Treatment
P40012,L10019,CMP001,2010-01-23,Replied,Control
P40013,L10020,CMP001,2010-01-27,Opened,Control
P40014,L10022,CMP001,2010-01-25,No Action,Control
P40015,L10023,CMP001,2010-02-04,Opened,Treatment
P40016,L10025,CMP001,2010-02-19,Clicked,Treatment
P40017,L10026,CMP001,2010-02-09,No Action,Control
P40018,L10027,CMP001,2010-02-01,No Action,Control
P40019,L10028,CMP001,2010-02-12,Clicked,Treatment
P40020,L10029,CMP001,2010-02-14,No Action,Control
P40021,L10031,CMP001,2010-01-31,Opened,Treatment
P40022,L10032,CMP001,2010-02-04,Clicked,Treatment
P40023,L10034,CMP001,2010-02-01,Replied,Treatment
P40024,L10037,CMP001,2010-02-13,Clicked,Treatment
P40025,L10039,CMP001,2010-02-26,Replied,Control
P40026,L10040,CMP001,2010-02-20,Opened,Treatment
P40027,L10041,CMP001,2010-02-21,Clicked,Control
P40028,L10044,CMP001,2010-02-14,Opened,Treatment
P40029,L10045,CMP001,2010-02-13,Opened,Control
P40030,L10048,CMP001,2010-03-01,No Action,Control
P40031,L10051,CMP001,2010-02-26,Opened,Treatment
P40032,L10054,CMP001,2010-03-12,Clicked,Treatment
P40033,L10057,CMP001,2010-03-06,Opened,Treatment
P40034,L10058,CMP001,2010-03-08,Replied,Treatment
P40035,L10060,CMP001,2010-02-25,No Action,Control
P40036,L10063,CMP001,2010-03-09,Clicked,Control
P40037,L10065,CMP001,2010-03-15,No Action,Control
P40038,L10066,CMP001,2010-03-17,Opened,Treatment
P40039,L10067,CMP001,2010-03-21,Opened,Treatment
P40040,L10068,CMP001,2010-03-02,No Action,Treatment
P40041,L10072,CMP001,2010-03-01,No Action,Control
P40042,L10075,CMP001,2010-03-28,Clicked,Control
P40043,L10076,CMP001,2010-03-12,Clicked,Treatment
P40044,L10078,CMP001,2010-03-29,Clicked,Treatment
P40045,L10081,CMP001,2010-03-18,Replied,Control
P40046,L10084,CMP001,2010-03-11,Replied,Treatment
P40047,L10088,CMP001,2010-03-28,Replied,Treatment
P40048,L10089,CMP001,2010-04-01,Replied,Treatment
P40049,L10090,CMP001,2010-03-27,No Action,Control
P40050,L10093,CMP001,2010-04-01,Clicked,Control
P40051,L10095,CMP001,2010-03-26,Opened,Treatment
